epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,319372,0.46932,0.68604,0.41249,1.02549,0.95917,0.94915,0.97489,0.82531,0.95917,0.94915,0.96209,0.81875,0.5834,0.98195,0.43484,1.22475,0.0006338,0.0006338,0.0006338
71,322995,0.46793,0.72633,0.43295,1.0309,0.9568,0.93939,0.96421,0.82573,0.94792,0.91928,0.95899,0.81401,0.57501,0.99373,0.42843,1.22787,0.000614,0.000614,0.000614
72,326619,0.45834,0.6838,0.41167,1.02208,0.95508,0.86869,0.95351,0.81093,0.95508,0.86869,0.9528,0.8038,0.59616,1.06009,0.45646,1.25765,0.0005942,0.0005942,0.0005942
73,329817,0.47841,0.69732,0.41806,1.03249,0.96801,0.91919,0.96908,0.81662,0.90612,0.93939,0.95259,0.80573,0.6001,0.9705,0.45342,1.24966,0.0005744,0.0005744,0.0005744
74,332947,0.46091,0.66964,0.39568,1.02979,0.95634,0.93939,0.97068,0.80223,0.95634,0.93939,0.96587,0.8117,0.60988,1.06637,0.41291,1.25997,0.0005546,0.0005546,0.0005546
75,336631,0.44819,0.67607,0.40374,1.01531,0.96715,0.92929,0.97292,0.83301,0.95512,0.91919,0.96083,0.82627,0.5505,1.09645,0.4297,1.19021,0.0005348,0.0005348,0.0005348
76,340895,0.44368,0.70568,0.42148,1.00571,0.93897,0.9596,0.96451,0.82035,0.96699,0.92929,0.96335,0.82401,0.58195,1.07134,0.4124,1.23239,0.000515,0.000515,0.000515
77,345252,0.4546,0.69958,0.4178,1.01911,0.97866,0.92639,0.97422,0.83968,0.96526,0.93939,0.96561,0.83047,0.5587,0.91907,0.43185,1.2051,0.0004952,0.0004952,0.0004952
78,349655,0.44617,0.69857,0.39644,1.00646,0.94625,0.92929,0.96327,0.84226,0.95654,0.93939,0.96484,0.83842,0.57692,0.9143,0.43658,1.2442,0.0004754,0.0004754,0.0004754
79,353998,0.44504,0.70817,0.39552,1.01378,0.96877,0.94949,0.96832,0.82516,0.9504,0.96774,0.96723,0.82008,0.59643,0.91338,0.41517,1.29207,0.0004556,0.0004556,0.0004556
